date,transactions,active_addresses,hashrate,difficulty,miners_revenue,transaction_volume_btc,price_usd,transaction_volume_usd,utxo_count,total_btc,fees_usd,utxo_creation,daily_btc_mined,block_rewards_usd,cost_per_btc,asic_efficiency_jth,daily_electricity_kwh,daily_electricity_cost,electricity_cost_per_btc
2016-10-21,265355.0,458618.0,2107602.62668314,258522748404.0,1337225.23260072,249142.28958803,629.7187999999995,156669875.507655,42419430.0,15941712.5,47845.9498527513,33945.0,2050.0,1289379.2827479686,652.3049915125463,166.56716417910448,8425377.42583302,421268.87129165104,205.49701038617124
2016-10-22,216708.0,389920.0,1878507.28210418,257535264827.557,1234167.03593925,192181.57344966,652.0875,123012421.610503,42357738.0,15943575.0,42765.312958532,-61692.0,1862.5,1191401.722980718,662.6400192962416,166.26865671641792,7496085.1782593075,374804.2589129654,201.23718599353847
2016-10-23,191578.0,370500.0,1815470.12498659,253618246641.0,1238346.54510843,157600.07318391,649.6263000000002,103115122.848848,42250799.0,15945375.0,45094.9477541964,-106939.0,1800.0,1193251.5973542337,687.9703028380167,165.97014925373134,7231532.342633151,361576.6171316576,200.87589840647644
2016-10-24,226980.0,406335.0,1802862.69356308,253618246641.0,1212723.46130469,249152.71863226,648.7663,161693433.731515,42154302.0,15947162.5,52665.2655520188,-96497.0,1787.5,1160058.1957526712,678.4466916389874,165.67164179104478,7168397.336794096,358419.8668397048,200.51461081941528
2016-10-25,237030.0,426577.0,1752432.967869,253618246641.0,1198651.51325496,271794.07259416,652.6338,177371950.411646,42067220.0,15948900.0,64703.4905016313,-87082.0,1737.5,1133948.0227533288,689.8713745352288,165.37313432835822,6955327.982324246,347766.3991162123,200.15332323235242
2016-10-26,223316.0,390127.0,1752432.967869,253618246641.0,1225525.90699722,261192.73470516,673.4175000000001,173327307.55176,41872770.0,15950625.0,82013.1307980422,-194450.0,1725.0,1143512.7761991776,710.4498011578087,165.07462686567163,6942773.238673842,347138.6619336921,201.23980401953165
2016-10-27,326388.0,544308.0,2042403.89060992,253618246641.0,1472099.83342669,379576.74154797,683.3724999999998,258545483.966802,41877299.0,15952650.0,76300.1933466422,4529.0,2025.0,1395799.6400800478,726.9628807045383,164.77611940298507,8076945.296358276,403847.2648179138,199.43074805822906
2016-10-28,250876.0,444636.0,1916329.57637474,253618246641.0,1374557.9766865,255567.19556889,687.5587999999999,174924737.115796,41869805.0,15954550.0,56633.9756876709,-7494.0,1900.0,1317924.000998829,723.4515666771052,164.47761194029852,7564639.497904348,378231.97489521746,199.06946047116708
2016-10-29,229689.0,419590.0,1878507.28210418,253618246641.0,1385240.01796821,235841.56834165,715.4103243232163,166370935.98013,41866219.0,15956412.5,52710.6211208786,-3586.0,1862.5,1332529.3968473314,743.7530297815892,164.17910447761193,7401879.439932887,370093.9719966444,198.70817288410439
2016-10-30,207982.0,359909.0,2130655.91057455,253618246641.0,1557511.31311322,187085.59079411,697.2773624560577,131602246.519822,41815210.0,15958512.5,44972.1801557462,-51009.0,2100.0,1512539.1329574739,741.6720538634381,163.88059701492537,8380155.90380008,419007.795190004,199.52752151904951
2016-10-31,241778.0,456149.0,1853292.41925715,253618246641.0,1356064.41434344,301098.85122162,698.5762999999998,210506851.255889,41865384.0,15960350.0,54194.484372746,50174.0,1837.5,1301869.929970694,737.9942390984708,163.5820895522388,7275970.715841802,363798.5357920901,197.98559770998102
2016-11-01,246650.0,437870.0,1815470.12498659,253618246641.0,1361972.77932251,287696.45765772,729.2049999999999,208660536.822944,41851208.0,15962150.0,57269.166937088,-14176.0,1800.0,1304703.612385422,756.6515440680611,163.28358208955223,7114475.164425059,355723.758221253,197.62431012291833
2016-11-02,268418.0,455987.0,1676788.3793279,253618246641.0,1264758.56416812,226415.0961,734.1638,164356161.509587,41895554.0,15963812.5,57774.9364590998,44346.0,1662.5,1206983.6277090202,760.7570310785684,162.98507462686567,6558995.499317255,327949.77496586274,197.2630225358573
2016-11-03,271998.0,466632.0,1966759.30206881,253618246641.0,1465722.49495801,294581.25110541,686.0612999999995,213617077.260219,41909864.0,15965750.0,57175.2730622894,14310.0,1937.5,1408547.2218957206,756.5019328815536,162.6865671641791,7679167.663002996,383958.38315014984,198.17206872265797
2016-11-04,248043.0,429052.0,1462462.04512809,253618246641.0,1069025.79055043,280307.05762868,702.11,195355546.311458,41967190.0,15967200.0,58733.1978572493,57326.0,1450.0,1010292.5926931808,737.2591658968483,162.38805970149252,5699672.973490252,284983.64867451263,196.54044736173284
2016-11-05,238215.0,438573.0,1885928.48644027,253967917207.953,1338541.70057247,171743.84612475,704.0224999999997,120288462.083288,42008040.0,15969037.5,51641.5121539912,40850.0,1837.5,1286900.1884184787,728.4580683387592,162.08955223880596,7336543.294116298,366827.1647058149,199.63383113241628
2016-11-06,225786.0,410270.0,1949214.67726041,254620187304.0,1398507.93276922,162508.4138789,712.1263000000001,114742910.971948,42051319.0,15970950.0,49940.4114676865,43279.0,1912.5,1348567.5213015336,731.2459779185465,161.7910447761194,7568771.499045796,378438.5749522898,197.8763790600208
2016-11-07,274281.0,490444.0,1847956.77194818,254620187304.0,1383893.2973044,250343.23187094,706.0925,175932227.263027,42108040.0,15972775.0,65965.7336928581,56721.0,1825.0,1317927.5636115419,758.2976971530959,161.49253731343282,7162349.470738855,358117.4735369428,196.22875262298234
2016-11-08,296060.0,515899.0,2139073.24972084,254620187304.0,1552167.96521807,294404.74710882,708.9399999999999,207694374.685563,42129340.0,15974887.5,62971.5939453216,21300.0,2112.5,1489196.3712727483,734.7540663754178,161.19402985074626,8275340.094442413,413767.0047221207,195.866037738282
2016-11-09,270095.0,471046.0,1860614.01011221,254620187304.0,1411825.60284686,344865.31132966,721.1774999999999,250582316.714359,42147924.0,15976725.0,61031.7795638732,18584.0,1837.5,1350793.8232829866,768.3404641343456,160.8955223880597,7184747.114869118,359237.35574345593,195.50332285358147
2016-11-10,271374.0,480416.0,2126416.01155681,254620187304.0,1561547.59528767,262443.61350093,713.2141433353438,187826423.936318,42146855.0,15978825.0,58880.7359780644,-1069.0,2100.0,1502666.8593096056,743.5940929941286,160.59701492537314,8195905.534692995,409795.2767346498,195.14060796888086
2016-11-11,254619.0,438416.0,2063129.82073667,254620187304.0,1544865.43788623,218886.41591335,715.6425000000002,156396615.431267,42141684.0,15980862.5,53442.1933698216,-5171.0,2037.5,1491423.2445164083,758.2161658337325,160.29850746268656,7937199.143180358,396859.9571590179,194.77789308418056
2016-11-12,228886.0,441806.0,2126416.01155681,254620187304.0,1553329.97702898,171163.71599617,703.76,121310139.566461,42170459.0,15982962.5,46801.1340805275,28775.0,2100.0,1506528.8429484523,739.6809414423714,160.0,8165437.48437815,408271.8742189075,194.41517819947975
2016-11-13,219657.0,420695.0,1809985.0574561,254620187304.0,1293790.37331889,178721.25129687,702.3463169808624,123872148.046939,42200082.0,15984737.5,44073.412101547,29623.0,1775.0,1249716.961217343,728.8959849683888,159.70149253731344,6937375.56350338,346868.778175169,195.4190299578417
2016-11-14,270506.0,489541.0,2177044.96421293,254620187304.0,1565494.16935848,238427.33527009,705.55,167411486.834791,42212252.0,15986887.5,55770.0695824288,12170.0,2150.0,1509724.0997760512,728.1368229574325,159.40298507462688,8328659.182493407,416432.95912467036,193.68974843007925
2016-11-15,280352.0,514156.0,1974529.15358847,254620187304.0,1446536.15839886,267596.06959962,712.158899800779,190488765.827911,42277881.0,15988837.5,58000.9334973063,65629.0,1950.0,1388535.2249015537,741.8134145635179,159.1044776119403,7539754.308269764,376987.7154134882,193.32703354537858
2016-11-16,289789.0,481300.0,2177044.96421293,254620187304.0,1610431.45475799,365085.91269864,740.8993548679168,266411874.867395,42304657.0,15990975.0,57783.9460905529,26776.0,2137.5,1552647.5086674371,753.4182244481825,158.80597014925374,8297465.702409161,414873.2851204581,194.09276496863538
2016-11-17,277460.0,483350.0,2012500.86808055,254620187304.0,1569383.41259187,340353.76901722,738.4799999999999,254155219.470792,42285093.0,15992962.5,66757.5877311401,-19564.0,1987.5,1502625.8248607297,789.6268742600604,158.50746268656718,7655913.750095084,382795.6875047542,192.60160377597697
2016-11-18,275925.0,493764.0,2073243.13718006,272434584596.115,1459383.09526013,262969.50151606,748.4263,195698807.196307,42328085.0,15994812.5,62707.9247119842,42992.0,1850.0,1396675.170548146,788.8557271676378,158.2089552238806,7872135.135800107,393606.75679000537,212.76040907567858
