date,transactions,active_addresses,hashrate,difficulty,miners_revenue,transaction_volume_btc
2015-03-18,99607.0,192033.0,332426.752770383,47427554950.6483,1320674.89785264,288426.51172625
2015-03-19,106297.0,191319.0,337142.025859325,47427554950.6483,1038892.10203537,244546.57239646
2015-03-20,103532.0,196439.0,332426.752770383,47427554950.6483,945367.378745339,168599.76661158
2015-03-21,92836.0,209563.0,337142.025859325,47427554950.6483,1202959.83423877,146685.71705475
2015-03-22,90586.0,229566.0,313565.660414617,47427554950.6483,978614.418954976,106400.95569525
2015-03-23,106019.0,217678.0,358360.754759562,47427554950.6483,1149817.6092931,237904.63550052
2015-03-24,92927.0,182247.0,387831.112208752,46717549644.7064,1247262.44601875,217673.76568544
2015-03-25,97138.0,186186.0,385508.770219478,46717549644.7064,1106539.1759772,233596.05788877
2015-03-26,101181.0,187578.0,346028.956401821,46717549644.7064,1128027.22590663,220848.30169434
2015-03-27,99491.0,196455.0,399442.822155122,46717549644.7064,1268664.29226788,227062.8066882
2015-03-28,87374.0,200239.0,348351.298391095,46717549644.7064,1005981.65833757,125743.52289773
2015-03-29,90516.0,231523.0,350673.640380369,46717549644.7064,1110135.86666338,132575.68678099
2015-03-30,106355.0,213673.0,329772.562476903,46717549644.7064,973393.48077274,204533.91449303
2015-03-31,115111.0,226307.0,346028.956401821,46717549644.7064,1083199.55999248,204049.18107243
2015-04-01,119343.0,223233.0,329772.562476903,46717549644.7064,942541.77656054,223956.8253745
2015-04-02,112070.0,211292.0,341384.272423273,46717549644.7064,1199712.09749658,208545.46398518
2015-04-03,104546.0,194634.0,350673.640380369,46717549644.7064,1067896.69834402,171010.38818365
2015-04-04,89651.0,215923.0,357640.66634819,46717549644.7064,1205590.6290449,106820.79097441
2015-04-05,95023.0,221968.0,371157.005411998,49446390688.2414,1082160.05929545,97182.32889185
2015-04-06,107449.0,205697.0,317081.150318859,49446390688.2414,942391.439865455,153222.58253906
2015-04-07,108714.0,215918.0,390820.952718594,49446390688.2414,1229555.75469383,233894.0965541
2015-04-08,110751.0,215255.0,292501.216185614,49446390688.2414,1013831.8772282,257014.08080438
2015-04-09,116620.0,201791.0,351493.058105402,49446390688.2414,905334.768100351,212886.84868677
2015-04-10,112826.0,218653.0,349035.064692078,49446390688.2414,1125051.63652566,242500.25796633
2015-04-11,99429.0,235064.0,336745.097625455,49446390688.2414,948286.14929616,140161.31914914
2015-04-12,86999.0,217732.0,334287.104212131,49446390688.2414,830709.719453486,109151.48464474
2015-04-13,115407.0,221789.0,346577.071278753,49446390688.2414,1080582.91452837,250302.93136812
2015-04-14,110150.0,213708.0,388362.959305269,49446390688.2414,901375.649856275,245453.41668463
2015-04-15,107606.0,186694.0,302333.189838912,49446390688.2414,717156.84964451,222830.56962067
2015-04-16,99046.0,188970.0,339203.09103878,49446390688.2414,927077.299737437,170721.35660401
2015-04-17,102755.0,193199.0,329371.117385482,49446390688.2414,754220.2607667,214074.30789749
2015-04-18,97709.0,216541.0,326913.123972157,49446390688.2414,916061.356961556,159282.92142703
2015-04-19,91134.0,222517.0,334287.104212131,49446390688.2414,1081326.8690184,147817.45198388
2015-04-20,116746.0,209796.0,408026.906611865,49446390688.2414,983941.699833826,229420.49861228
2015-04-21,112502.0,202389.0,376310.705870182,47610564513.4713,996289.362301728,219970.14485222
2015-04-22,111878.0,220819.0,338442.961883245,47610564513.4713,1041849.93641138,200376.10311671
2015-04-23,109838.0,217563.0,326609.291887328,47610564513.4713,844835.494701797,180257.29921141
2015-04-24,108776.0,204006.0,284008.079902024,47610564513.4713,818037.569884457,199014.58767932
2015-04-25,98465.0,230746.0,364477.035874264,47610564513.4713,1138632.77753551,150030.55556326
2015-04-26,92999.0,231840.0,352643.365878346,47610564513.4713,840330.369719244,173951.61068491
2015-04-27,113775.0,215145.0,326609.291887328,47610564513.4713,953399.459954905,278651.83432174
2015-04-28,113193.0,209313.0,371577.237871815,47610564513.4713,997245.566561662,236359.20316033
2015-04-29,117260.0,219107.0,305308.685894676,47610564513.4713,741391.64271784,194250.51082639
2015-04-30,112958.0,206785.0,314775.62189141,47610564513.4713,872918.642666443,233790.84157048
2015-05-01,99560.0,188699.0,347909.897879979,47610564513.4713,1029919.5580613,202146.03531365
2015-05-02,95102.0,233284.0,347909.897879979,47610564513.4713,1002482.24492307,121187.82089183
2015-05-03,84602.0,214577.0,326609.291887328,47610564513.4713,944154.636483757,173445.04377256
2015-05-04,104000.0,208572.0,312624.333322854,47643398017.8034,901989.777103338,211965.16548486
2015-05-05,115348.0,219742.0,364728.388876663,47643398017.8034,980916.53417919,176406.27982216
2015-05-06,111733.0,225289.0,338676.361099758,47643398017.8034,1095042.63966171,221544.67626519
2015-05-07,111125.0,220987.0,381306.95200742,47643398017.8034,879719.261384585,198913.36589624
2015-05-08,109145.0,258964.0,350518.191907442,47643398017.8034,1071486.17039957,220226.42279408
2015-05-09,94716.0,189134.0,298414.136353633,47643398017.8034,921816.71766574,156135.86804052
2015-05-10,89409.0,219078.0,305519.234838243,47643398017.8034,966831.312930865,130479.89682326
2015-05-11,111374.0,225581.0,352886.558068979,47643398017.8034,1068466.31559159,226882.15444638
2015-05-12,110101.0,226586.0,374201.85352281,47643398017.8034,1064598.06412984,215335.287348
2015-05-13,108858.0,210288.0,383675.318168957,47643398017.8034,1209740.0246009,223313.60437234
2015-05-14,101584.0,200454.0,331571.262615148,47643398017.8034,1112652.15389852,210171.61782055
2015-05-15,105160.0,209511.0,390780.416653567,47643398017.8034,1100858.35891009,191818.00255881
2015-05-16,90686.0,229024.0,303150.868676707,47643398017.8034,893513.609002344,124502.6607068
2015-05-17,87162.0,213882.0,419738.369701863,48807487244.6814,1144998.33057769,107518.29162404
2015-05-18,98578.0,206913.0,332393.969070261,48807487244.6814,970848.767929774,194600.53884054
2015-05-19,107346.0,212508.0,329967.735719384,48807487244.6814,818617.777220403,225568.00639248
2015-05-20,106888.0,214856.0,344525.13582465,48807487244.6814,969954.100248016,210262.02489277
2015-05-21,98302.0,202037.0,371213.702684306,48807487244.6814,992600.295782172,179769.4103816
2015-05-22,102770.0,208304.0,344525.13582465,48807487244.6814,908597.137475951,275586.32050174
2015-05-23,86279.0,187976.0,291148.002105338,48807487244.6814,791439.177905592,169990.68915637
2015-05-24,94044.0,249786.0,342098.902473773,48807487244.6814,954369.712057463,120198.31489406
2015-05-25,106086.0,221655.0,349377.602526406,48807487244.6814,932241.661014417,170262.98635824
2015-05-26,108384.0,227723.0,327541.502368506,48807487244.6814,1029440.19202808,214175.60751689
2015-05-27,108089.0,214649.0,351803.835877284,48807487244.6814,899539.373532816,217206.86391884
2015-05-28,110980.0,212935.0,320262.802315872,48807487244.6814,803899.965142772,194320.04353086
2015-05-29,124052.0,243480.0,380918.636087818,48807487244.6814,1128074.46801485,253496.7821444
2015-05-30,127801.0,266265.0,300852.93550885,48807487244.6814,888252.169613421,190481.62282286
2015-05-31,98784.0,251225.0,356656.30257904,48807487244.6814,926865.371505693,171327.24147719
2015-06-01,128696.0,258970.0,332393.969070261,48807487244.6814,792896.662782127,293193.03006128
2015-06-02,128207.0,253269.0,345390.945540338,47589591153.625,920829.233457179,256222.76064755
2015-06-03,127600.0,246454.0,335928.179909096,47589591153.625,860046.112515177,250793.95117655
2015-06-04,118346.0,231919.0,335928.179909096,47589591153.625,945238.915123538,238794.32090115
2015-06-05,110201.0,223180.0,335928.179909096,47589591153.625,839491.369756514,240038.8263035
2015-06-06,92696.0,234953.0,380876.316657496,47589591153.625,1262209.26648019,163491.69606239
2015-06-07,83627.0,220164.0,395070.465104359,47589591153.625,942417.318145213,156572.82076999
2015-06-08,108173.0,202272.0,333562.488501286,47589591153.625,1021051.37608598,266452.57768331
2015-06-09,121638.0,230578.0,383242.008065307,47589591153.625,954812.701541047,235709.12131514
2015-06-10,131279.0,272533.0,373779.242434065,47589591153.625,1086411.51054592,256307.1967515
2015-06-11,120624.0,233951.0,366682.168210633,47589591153.625,875567.013509312,253210.2014607
2015-06-12,126945.0,248877.0,321734.031462233,47589591153.625,943621.951601325,241281.31069621
2015-06-13,105843.0,239474.0,373779.242434065,47589591153.625,1135309.32280931,200502.73799918
2015-06-14,103036.0,247680.0,358182.179015018,49692386354.8938,1011033.83300274,201354.57566834
2015-06-15,129389.0,272423.0,370533.288636225,49692386354.8938,1026526.56898407,270185.13794191
2015-06-16,121541.0,231099.0,303837.296681705,49692386354.8938,866651.63510904,361310.77029032
2015-06-17,133122.0,264842.0,350771.513242293,49692386354.8938,1156640.63090393,411475.94240052
2015-06-18,124929.0,234569.0,380414.176333191,49692386354.8938,1133271.14912139,309598.03059096
2015-06-19,125222.0,253777.0,397705.729802882,49692386354.8938,1043809.14232646,482055.04219977
2015-06-20,102012.0,228622.0,331009.737848361,49692386354.8938,893986.621257645,184579.09567714
2015-06-21,96654.0,236321.0,301367.074757463,49692386354.8938,835797.23668661,151446.41142095
2015-06-22,119345.0,222817.0,365592.844787742,49692386354.8938,1122575.84082726,231000.0093809
2015-06-23,125560.0,256698.0,353241.735166535,49692386354.8938,1016657.5535392,225122.96043642
2015-06-24,113093.0,224581.0,373003.510560467,49692386354.8938,1077185.36594486,238315.23290135
2015-06-25,111468.0,189264.0,395235.50787864,49692386354.8938,1073298.21734134,222018.79843963
2015-06-26,116432.0,248150.0,365592.844787742,49692386354.8938,1094024.9937944,258105.06456685
2015-06-27,106004.0,254786.0,316188.406302912,49692386354.8938,860747.558580137,175000.16245679
2015-06-28,99145.0,236527.0,363122.622863501,49692386354.8938,1065646.02936789,160870.97853822
2015-06-29,124180.0,240752.0,336442.885099528,49402014931.2275,999244.94041141,283233.82405788
2015-06-30,155869.0,257561.0,351177.609994398,49402014931.2275,987310.631191298,317689.62113181
2015-07-01,144112.0,253870.0,356089.184959354,49402014931.2275,930878.951249757,251102.27437513
2015-07-02,142153.0,267808.0,343810.247546963,49402014931.2275,1128069.41887236,287151.5997476
2015-07-03,129719.0,252129.0,397837.572161486,49402014931.2275,1209697.87933563,250144.83202626
2015-07-04,104582.0,234937.0,380647.059784137,49402014931.2275,1054905.78005882,160622.35685932
2015-07-05,115084.0,269467.0,356089.184959354,49402014931.2275,1099548.27244529,323689.04946259
2015-07-06,174070.0,290419.0,417483.872021312,49402014931.2275,1414820.45148119,357590.76169528
2015-07-07,190747.0,276934.0,363456.547406789,49402014931.2275,1060705.92909097,353726.79860164
2015-07-08,201747.0,278945.0,378191.272301659,49402014931.2275,1177488.42525327,275319.28683318
2015-07-09,191163.0,269424.0,338898.672582006,49402014931.2275,950484.103208261,254027.68715178
2015-07-10,193020.0,266692.0,383102.847266616,49402014931.2275,1249167.49904509,453391.07951449
2015-07-11,186200.0,275689.0,356089.184959354,49402014931.2275,1179775.00376404,234825.05682691
2015-07-12,208685.0,270698.0,350384.751809399,51076366303.4819,1187913.99337887,279562.7266234
2015-07-13,159695.0,240377.0,368157.891393933,51076366303.4819,1315092.08234471,258538.88752728
2015-07-14,122618.0,230438.0,352923.771750046,51076366303.4819,1103504.05169445,238746.23389414
2015-07-15,115570.0,231980.0,391009.070859764,51076366303.4819,1152154.50300595,206832.67150256
2015-07-16,114387.0,222932.0,345306.711928103,51076366303.4819,1036399.52668594,263461.91942591
2015-07-17,116906.0,205768.0,365618.871453286,51076366303.4819,1208780.75198532,246140.0389528
2015-07-18,130695.0,213960.0,406243.190503651,51076366303.4819,1138075.97890539,168195.66701171
2015-07-19,120887.0,248240.0,363079.851512638,51076366303.4819,1140279.14952982,133778.21661903
2015-07-20,125258.0,236910.0,365618.871453286,51076366303.4819,1168610.80751842,205494.75240175
2015-07-21,133785.0,255725.0,355462.791690694,51076366303.4819,1047201.4931061,231233.57262452
2015-07-22,131259.0,247466.0,373235.931275229,51076366303.4819,1253888.34703836,218341.51026084
2015-07-23,109620.0,208474.0,378313.971156525,51076366303.4819,1119705.21422306,206320.94878373
2015-07-24,109918.0,217965.0,426555.350028833,51076366303.4819,1438918.92921829,282440.7423562
2015-07-25,100544.0,195286.0,397611.600337113,52278304845.5917,1408342.78252167,205610.12589174
2015-07-26,92776.0,256518.0,358630.070892298,52278304845.5917,1277746.10415977,142510.88171681
2015-07-27,115226.0,236624.0,402809.137596422,52278304845.5917,1306713.90985256,241514.74118363
2015-07-28,118350.0,243025.0,369025.145410916,52278304845.5917,1066597.43299379,290787.98827528
